Municipality code,Municipality,Population2016,Population2017,Population2018,Cases2016,Cases2017,Cases2018,Age0-4(%),Age5-14(%),Age15-29(%),Age>30(%),AfrocolombianPopulation(%),IndianPopulation(%),PeoplewithDisabilities(%),Peoplewhocannotreadorwrite(%),Secondary/HigherEducation(%),Employedpopulation(%),Unemployedpopulation(%),Peopledoinghousework(%),Retiredpeople(%),Men(%),Women(%),Householdswithoutwateraccess(%),Householdswithoutinternetaccess(%),Buildingstratification1(%),Buildingstratification2(%),Buildingstratification3(%),Buildingstratification4(%),Buildingstratification5(%),Buildingstratification6(%),NumberofhospitalsperKm2,NumberofhousesperKm2,Código Municipio,Longitud,Latitud,2016_dengue,2017_dengue,2018_dengue,2016_temp,2017_temp,2018_temp,2016_precip,2017_precip,2018_precip,strata
5042,Santa Fé de Antioquia,25600,25727,26164,115,22,10,6.08,15.37,25.56,52.98,3.31,0.1,6.98,8.67,48.17,40.01,3.86,18.08,1.59,49.69,50.31,6.15,46.8,29.8484,26.0248,6.8808,1.042,0.9042,0.267,0.0020039999999999,15.466934,5042,-75.8772836177,6.513220246046667,2.2115384615384617,0.41509433962264153,0.19607843137254902,22.625344514846805,22.03249128659567,21.953071435292557,175.06240145365396,202.03806114196792,222.293659845988,3
5044,Anzá,6910,6905,7010,0,1,0,6.78,16.69,26.0,50.53,0.34,0.03,11.24,13.79,32.65,39.25,1.85,23.45,0.59,51.72,48.28,18.0,68.05,39.6905,22.3007,5.4827,0.0,0.0,0.0,0.003906,8.191406,5044,-75.8935012704,6.32474259209,0.0,0.018867924528301886,0.0,20.322873830795285,19.74969681104024,19.665647387504574,169.351271947225,198.00864728291825,211.03506978352854,3
5045,Apartadó,118802,119318,121003,76,138,387,7.72,18.42,29.13,44.72,37.8,0.71,6.9,6.08,57.72,36.3,5.54,17.07,0.71,49.22,50.78,6.81,49.8,45.9367,25.6242,11.3066,1.8285,0.159,0.0075,0.057661,57.013180000000006,5045,-76.65533669269091,7.858490329737273,1.4615384615384615,2.7169811320754715,7.470588235294118,27.193696657816556,26.656782865524303,26.59074552853903,184.832641283671,214.65666103363046,212.0285425186158,3
5051,Arboletes,28865,28862,29295,51,50,96,8.22,21.14,24.66,45.98,27.05,3.64,8.74,11.95,45.47,25.86,6.06,26.59,0.4,50.3,49.7,34.7,78.56,68.4472,13.8695,1.7766,0.0474,0.0237,0.0118,0.004178,10.130919,5051,-76.40941042237779,8.619187498028888,0.9807692307692307,0.9433962264150944,1.8823529411764706,27.977014462153132,27.46328457196552,27.371603806813557,116.68118111292529,131.93744134902948,133.61978117624915,1
5055,Argelia,7727,7676,7689,2,0,1,6.83,18.6,24.23,50.34,0.84,0.03,8.71,9.85,37.35,36.97,1.91,25.24,0.43,51.75,48.25,22.68,62.63,51.783,11.399,0.701,0.0305,0.0305,0.061,0.0038909999999999,8.743191,5055,-75.1410633595,5.73147922832,0.038461538461538464,0.0,0.0196078431372549,23.991848627726238,23.382538954416916,23.335772434870403,169.93537648518875,189.75443903605154,212.06181017557776,3
5059,Armenia,5218,5123,5139,16,0,0,4.4,13.14,18.43,64.02,0.18,0.08,9.01,16.52,33.67,36.45,2.44,28.88,1.05,50.07,49.93,17.59,59.92,12.2723,42.2819,9.8274,0.1438,0.0479,0.0,0.009009,12.378378,5059,-75.7993977227,6.150097453434,0.3076923076923077,0.0,0.0,24.106070677439376,23.528032461802166,23.44715150197347,150.42512385050443,172.30413309733083,189.3932161331177,2
5079,Barbosa,48938,49978,51969,125,107,78,5.01,13.2,25.06,56.73,0.51,0.04,7.27,5.92,54.85,42.58,4.04,18.6,3.27,49.62,50.38,22.69,56.29,15.8122,59.7962,5.5792,0.364,0.2392,0.1196,0.019231,76.572115,5079,-75.37243547275385,6.426614059991538,2.4038461538461537,2.0754716981132075,1.4705882352941178,22.405947923660264,21.779450654983524,21.688109238942484,172.14222780863432,194.08365758260086,221.61895720163977,3
5086,Belmira,5917,5911,6000,3,0,1,6.26,17.48,27.0,49.26,39.22,0.02,8.95,7.63,45.13,39.04,1.03,22.66,0.54,50.83,49.17,28.28,55.99,13.0719,45.098,7.5817,0.1743,0.0436,0.0,0.003584,5.526882,5086,-75.65056456426667,6.6430961516933325,0.057692307692307696,0.0,0.0196078431372549,13.333214402198792,12.722081561883293,12.631521423657732,143.33715883890792,168.76475811004624,187.52818806966152,2
5088,Bello,481333,504580,522264,1749,204,89,5.6,12.86,27.85,53.69,1.94,0.06,6.4,3.01,66.68,41.82,5.41,14.84,4.39,48.14,51.86,5.89,32.23,22.493,28.2074,30.0289,4.9136,0.046,0.0239,0.140845,1092.288732,5088,-75.57820464817142,6.342150511068572,33.63461538461539,3.8679245283018866,1.7254901960784315,17.430768211682626,16.832960049311318,16.74073624610901,160.40041605631504,182.2064781188965,201.975075085958,2
5091,Betania,10161,10168,10323,115,11,3,6.21,16.6,25.02,52.17,0.75,0.37,9.54,12.56,34.14,37.7,1.28,25.51,0.14,52.12,47.88,30.44,61.11,10.2024,52.7352,6.0996,0.0,0.0274,0.0274,0.005882,15.252941,5091,-75.9815686282,5.74984834526,2.2115384615384617,0.20754716981132076,0.058823529411764705,21.323567509651173,20.722338040669758,20.69088550408682,154.06780846913662,176.25189463297536,191.30188433329263,2
5093,Betulia,15374,15384,15607,49,12,8,6.94,17.83,26.19,49.04,0.47,0.18,9.83,14.65,33.07,38.71,1.07,23.86,0.21,51.38,48.62,19.34,62.6,40.3075,18.4956,4.492,0.5879,0.1055,0.0603,0.003922,18.470588,5093,-75.96688467755,6.167459349095,0.9423076923076923,0.22641509433962265,0.1568627450980392,23.119649648666392,22.54751396179199,22.467761437098176,156.3402535120645,177.52152633666995,196.865361213684,2
5101,Ciudad Bolívar,27585,26369,26118,84,18,9,5.6,15.3,24.07,55.02,0.82,1.09,11.68,10.92,42.22,39.08,2.54,21.99,1.19,50.01,49.99,15.7,58.26,16.951,36.2473,20.2132,0.4158,0.032,0.0,0.003509,25.754386,5101,-76.01135903436,5.838879702836,1.6153846153846154,0.33962264150943394,0.17647058823529413,22.28235777219137,21.690198977788317,21.64872789382936,160.59031073252348,183.90020942687985,200.92781575520837,2
5107,Briceño,7895,7906,8039,1,4,27,7.47,22.22,26.15,44.16,0.52,0.05,17.22,13.25,31.74,21.51,13.52,23.46,0.0,51.65,48.35,31.33,69.5,39.4558,24.4898,4.4218,0.0378,0.0,0.0,0.002463,4.714286,5107,-75.57016014334,7.137202222148,0.019230769230769232,0.07547169811320754,0.5294117647058824,21.493415514628083,20.883172671000164,20.78979126612347,190.71263567606618,224.71492576599118,240.43832969665525,3
5113,Buriticá,8488,8839,9354,12,26,1,7.27,18.05,27.28,47.4,0.36,0.0,4.66,11.04,36.42,34.26,3.47,27.86,0.11,52.3,47.7,11.99,68.38,51.7701,21.0305,0.7711,0.0351,0.0,0.0,0.002717,5.880434999999999,5113,-75.90935638086667,6.751174403843334,0.23076923076923078,0.49056603773584906,0.0196078431372549,22.070073366165158,21.458636879920977,21.38691361745199,172.7684758504232,200.688256263733,214.21102873484298,3
5120,Cáceres,28609,28572,28996,8,5,80,9.0,23.81,26.17,41.02,2.26,6.33,9.15,15.39,34.5,30.5,2.41,21.73,0.07,52.13,47.87,52.6,74.05,60.8627,4.6418,0.1802,0.0106,0.0,0.0,0.0005009999999999,3.767034,5120,-75.2787733192,7.767112226592,0.15384615384615385,0.09433962264150944,1.5686274509803921,28.272655248641957,27.6900522708893,27.57213433583578,220.546442826589,258.3648945490518,275.6466601689656,3
5125,Caicedo,8174,8164,8297,8,1,0,7.34,18.27,26.7,47.69,0.23,0.01,13.85,11.81,33.6,28.85,9.6,23.5,0.13,50.38,49.62,16.71,65.24,40.2742,25.7653,1.8814,0.0,0.0,0.0,0.004525,10.063348,5125,-75.9828123649,6.40556397358,0.15384615384615385,0.018867924528301886,0.0,18.73442137241363,18.151522000630692,18.075284838676467,159.49855709075942,187.5984319051105,201.8394629160564,2
5129,Caldas,77356,78178,79638,174,5,7,4.62,11.2,25.42,58.75,0.54,0.06,11.61,3.41,63.0,43.95,4.0,17.66,5.89,47.98,52.02,4.41,32.91,8.981,58.9961,21.6561,0.3653,0.1808,0.0301,0.030075,181.827068,5129,-75.63758017633572,6.0815006408457135,3.3461538461538463,0.09433962264150944,0.13725490196078433,19.2576262553533,18.661076863606755,18.588420510292057,163.77845668792727,185.88416608174632,205.97338612874344,3
5134,Campamento,8820,8961,9203,3,0,0,6.49,20.22,26.0,47.3,0.3,0.0,13.07,14.36,28.43,37.02,1.04,24.7,0.28,51.6,48.4,32.32,64.87,25.7023,36.6161,2.906,0.1937,0.0,0.0,0.005,10.945,5134,-75.278004329375,7.011732979985,0.057692307692307696,0.0,0.0,23.13331254323323,22.528972466786694,22.41919946670532,173.22052987416578,201.16699600219738,221.49201138814297,3
5138,Cañasgordas,15298,15296,15523,26,6,1,6.36,16.75,24.44,52.45,0.34,0.02,6.99,10.24,43.16,33.95,5.68,23.46,0.71,50.62,49.38,28.09,74.13,52.1374,25.9287,0.784,0.0187,0.0187,0.0,0.002558,11.161125,5138,-76.03636905093333,6.837853500033333,0.5,0.11320754716981132,0.0196078431372549,20.337237517038982,19.732962290445958,19.673869212468464,159.11577447255468,186.29442087809238,201.20264498392734,2
5142,Caracolí,4934,4695,4582,5,3,3,5.55,14.12,21.05,59.29,0.3,0.0,11.55,10.26,39.93,42.27,1.87,22.18,2.09,50.59,49.41,12.33,61.02,33.0319,34.317,1.5231,0.0476,0.0,0.0,0.003846,5.711538,5142,-74.7574542879,6.40985175825,0.09615384615384616,0.05660377358490566,0.058823529411764705,26.14833784103392,25.546796878178927,25.444026231765744,182.24386914571133,200.24887720743823,228.3310915629069,3
5145,Caramanta,5204,4867,4743,1,0,0,4.33,15.2,20.17,60.3,0.35,0.02,11.15,8.15,40.08,36.71,2.44,27.69,1.1,50.32,49.68,14.4,64.4,19.6532,35.0674,16.2813,0.0,0.0482,0.0,0.011628,17.511627999999998,5145,-75.61926343703333,5.558233532630001,0.019230769230769232,0.0,0.0,17.110557794570916,16.49276268482206,16.45471990108491,159.87167421976713,180.42176564534518,198.3852678934733,2
5147,Carepa,47085,47252,47932,101,15,93,8.05,20.3,29.99,41.66,24.76,0.15,4.1,7.72,51.88,33.77,3.33,19.17,0.61,50.05,49.95,14.24,65.81,45.6225,31.0626,2.9144,0.1739,0.006,0.012,0.007895,36.342105,5147,-76.67180998527478,7.800327244034031,1.9423076923076923,0.2830188679245283,1.8235294117647058,28.201165994008374,27.661416451136276,27.60701100031535,181.9136877059935,214.07170104980457,211.6086711883545,3
5148,El Carmen de Viboral,55075,57093,59416,5,1,0,6.7,14.56,26.74,52.0,0.29,0.05,13.31,5.81,57.15,44.87,2.44,16.71,3.39,49.51,50.49,4.45,44.67,4.4725,36.5802,32.3181,0.9832,0.3064,0.0777,0.002232,36.716518,5148,-75.33618240288,6.070890426351999,0.09615384615384616,0.018867924528301886,0.0,15.554079691569024,14.92557144165039,14.86466284592945,179.91095606486002,202.1025835673015,227.8760153452556,3
5150,Carolina,4133,4000,3954,1,0,1,3.86,11.85,21.51,62.79,1.14,0.24,6.76,6.67,57.43,35.0,6.46,22.67,4.34,49.24,50.76,9.72,52.63,23.3661,46.6744,1.5616,0.1157,0.0578,0.4049,0.005,6.3,5150,-75.2831680463,6.72597625966,0.019230769230769232,0.0,0.0196078431372549,18.810805082321174,18.20125627517699,18.098760485649105,168.573353767395,194.41152381896975,216.2605050404866,3
5154,Caucasia,90925,90361,90213,57,16,95,8.44,19.63,26.94,45.0,4.07,1.27,5.0,8.24,52.03,35.8,4.8,17.46,0.42,48.43,51.57,11.07,59.36,44.4855,24.9878,8.3478,0.7022,0.0621,0.0196,0.010631,17.38129,5154,-75.04057060282666,7.935771842243333,1.0961538461538463,0.3018867924528302,1.8627450980392157,29.061873674392718,28.493666172027563,28.363233725229907,172.35876671473181,202.5265576044718,210.61948251724243,3
5172,Chigorodó,56345,56584,57375,16,18,134,8.17,20.39,28.91,42.54,49.56,4.0,6.27,9.73,51.04,33.22,5.84,19.42,0.53,48.39,51.61,16.38,64.79,48.7042,31.6567,1.1655,0.0562,0.0102,0.0051,0.004934,27.006579,5172,-76.65135962363999,7.588526552857999,0.3076923076923077,0.3584905660377358,2.607843137254902,28.29273684819539,27.747460603713993,27.695767720540356,198.03486728668224,234.56198883056652,230.83959007263172,3
5190,Cisneros,10251,9934,9775,82,43,4,5.5,14.31,22.44,57.76,1.23,0.07,11.59,5.25,52.12,33.7,5.69,23.7,2.38,47.92,52.08,26.37,56.86,27.0496,41.7004,8.2743,0.2024,0.0,0.0,0.0434779999999999,67.282609,5190,-75.0872051341,6.53776304826,1.5769230769230769,0.8113207547169812,0.0784313725490196,23.00855668385824,22.398270527521774,22.29527560869852,186.4108921686808,210.77174504597983,238.40803527832023,3
5197,Cocorná,16722,15960,15444,38,2,1,7.14,16.13,23.07,53.67,0.58,0.0,16.43,10.05,38.57,32.27,5.91,24.39,1.31,49.4,50.6,19.55,53.6,17.4921,30.2424,7.3294,0.0351,0.0117,0.0,0.004762,24.17619,5197,-75.16100996990001,6.042774491683333,0.7307692307692307,0.03773584905660377,0.0196078431372549,23.318960984547942,22.69430828094482,22.626671950022374,182.2798252105712,203.43779754638672,228.27549552917466,3
5206,Concepción,4946,4812,4797,1,0,0,5.49,14.13,21.27,59.12,0.3,0.0,7.09,7.7,41.74,39.94,1.22,25.94,1.55,51.4,48.6,25.01,44.87,12.2434,30.4965,7.6148,0.0373,0.0373,0.0,0.005988,8.275449,5206,-75.257601243,6.39435397644,0.019230769230769232,0.0,0.0,19.739652395248417,19.106217781702668,19.016186038653057,172.6427408854167,192.64910252888998,219.04138946533203,3
5209,Concordia,21039,21058,21377,9,2,0,5.64,15.17,24.56,54.64,0.39,0.0,12.11,15.41,34.94,34.25,1.24,25.82,0.63,49.84,50.16,28.1,66.9,18.2254,44.6849,11.7775,0.7697,0.0871,0.0436,0.0043289999999999,22.787879,5209,-75.890069062175,6.05316695977,0.17307692307692307,0.03773584905660377,0.0,21.555626074473054,20.973421216011058,20.90538744131725,154.43514633178714,178.24319140116393,193.91399669647228,2
5212,Copacabana,75706,76394,77884,283,38,14,4.6,11.72,25.55,58.13,0.89,0.07,15.6,3.37,67.44,44.25,4.36,14.79,6.3,48.49,51.51,3.62,29.21,4.229,54.6194,27.1597,1.1061,0.5313,0.3795,0.0571429999999999,350.728571,5212,-75.504167519525,6.33869530854,5.4423076923076925,0.7169811320754716,0.27450980392156865,21.977507591247576,21.370237549146015,21.279084324836735,170.35406907399494,191.55899937947592,217.01911449432373,3
5234,Dabeiba,22588,22653,23044,6,6,3,10.12,22.6,26.28,41.0,0.51,20.9,11.03,18.3,32.84,33.01,2.56,22.09,0.38,50.83,49.17,41.07,74.91,47.5026,14.3959,9.1266,0.1046,0.0,0.0,0.000531,3.435475,5234,-76.17617245204445,7.011823133385556,0.11538461538461539,0.11320754716981132,0.058823529411764705,23.317768573760976,22.739165862401318,22.698171774546307,195.81596310933443,234.05999056498203,242.19883219401035,3
5237,Donmatías,18575,18648,18902,3,2,2,6.06,15.49,26.65,51.79,0.45,0.0,4.08,4.01,53.27,44.09,3.86,17.36,1.17,46.19,53.81,7.33,43.06,3.1649,50.776,16.2203,0.8825,0.0456,0.0,0.01105,25.922652,5237,-75.29592939732,6.51742503097,0.057692307692307696,0.03773584905660377,0.0392156862745098,17.500246604283657,16.884686827659593,16.792130112648,156.20622412363693,178.63195864359542,199.7259019215901,2
5240,Ebéjico,11989,11978,12158,46,3,3,4.51,13.74,19.84,61.92,0.45,0.02,19.48,12.07,35.36,36.42,1.98,27.63,2.18,51.12,48.88,6.73,63.41,42.1761,21.4246,5.0103,0.2991,0.2804,0.2056,0.004255,16.195745000000002,5240,-75.7614168518,6.310618127075,0.8846153846153846,0.05660377358490566,0.058823529411764705,23.18474523226421,22.608095884323134,22.514497518539432,161.07675838470456,185.7515379587808,200.9509210586547,2
5250,El Bagre,49274,50497,51862,66,102,89,9.0,23.44,27.06,40.5,4.65,1.85,2.14,11.77,42.67,33.22,4.69,19.13,0.26,50.06,49.94,21.29,62.86,54.1036,13.8352,1.3777,0.0469,0.0117,0.0117,0.001919,8.172744999999999,5250,-74.72751357456667,7.594359295904167,1.2692307692307692,1.9245283018867925,1.7450980392156863,28.56199057896932,28.00363572438557,27.849251826604217,231.0302279790243,267.8968143463136,290.14353624979645,3
5264,Entrerríos,10541,10764,11159,1,0,0,6.75,15.7,26.24,51.32,0.35,0.08,10.18,3.68,53.97,42.89,1.6,20.17,1.59,49.98,50.02,11.19,44.77,2.7899,20.1945,39.6724,7.0386,0.2304,0.256,0.013699,12.598174,5264,-75.517805693,6.56648234736,0.019230769230769232,0.0,0.0,16.58686021963756,15.975727478663126,15.882736682891844,152.712280591329,176.38617833455405,195.94685204823816,2
5266,Envigado,213188,221252,228848,437,77,43,3.82,9.34,21.76,65.09,0.66,0.05,5.69,1.47,77.33,46.62,4.31,11.58,9.37,46.11,53.89,0.93,11.07,0.4956,18.5325,31.0878,16.9634,20.6205,1.6219,0.525641,937.884615,5266,-75.54244390327142,6.155391678557619,8.403846153846153,1.4528301886792452,0.8431372549019608,18.760121941566474,18.158016920089732,18.077721556027736,161.11389668782553,182.4320589701335,203.255065282186,2
5282,Fredonia,23743,23873,24408,183,10,2,4.56,12.92,21.18,61.35,0.85,0.08,9.34,8.43,44.73,39.58,3.5,23.56,3.04,50.11,49.89,12.5,60.1,25.0738,28.7026,15.7504,0.623,0.7542,0.1858,0.008097,26.639676,5282,-75.69019547065,5.901031009193333,3.519230769230769,0.18867924528301888,0.0392156862745098,21.267317771911618,20.663867314656557,20.609440167744975,166.2173767089843,190.11985905965173,208.44382286071766,3
5284,Frontino,20674,20554,20739,13,30,13,9.13,19.71,25.18,45.99,0.52,18.91,8.44,14.54,36.49,34.34,2.39,23.3,0.83,50.48,49.52,22.69,66.92,25.4799,29.9906,12.3641,0.8994,0.0134,0.0268,0.0008089999999999,4.774272,5284,-76.19887537078334,6.762563735725,0.25,0.5660377358490566,0.2549019607843137,21.984491030375167,21.393279751141876,21.358318885167435,194.28242969512925,231.6737677256268,239.88187853495288,3
5306,Giraldo,5280,5364,5544,1,0,1,7.26,17.62,24.8,50.33,0.3,0.0,6.27,6.49,42.83,36.86,3.99,21.73,0.2,51.51,48.49,9.42,64.63,51.0757,14.2857,0.4733,0.0,0.0,0.0,0.010417,16.15625,5306,-75.95054881095,6.6875785880350005,0.019230769230769232,0.018867924528301886,0.0,19.76971876621246,19.167374968528744,19.096172451972944,159.6260811487835,187.90781084696462,200.53564262390137,2
5308,Girardota,48911,49965,51662,69,2,2,4.95,12.39,25.78,56.88,6.07,0.09,11.54,4.13,63.62,41.4,4.54,17.7,4.83,49.15,50.85,8.29,38.02,5.5751,66.9736,9.6378,0.8873,0.3739,0.1953,0.051282,194.871795,5308,-75.44511740791667,6.383933153890833,1.3269230769230769,0.03773584905660377,0.0392156862745098,22.640135367711384,22.023794293403625,21.93288715680441,170.0066099166871,191.55499394734704,218.46911621093759,3
5310,Gómez Plata,9792,9662,9753,3,2,0,5.1,14.61,20.8,59.49,0.8,0.01,15.59,6.53,44.08,36.17,5.08,23.7,2.94,50.38,49.62,15.91,50.67,27.0777,37.1314,0.8713,0.067,0.0,0.0223,0.002778,8.252778,5310,-75.197160042775,6.7416114535775,0.057692307692307696,0.03773584905660377,0.0,22.191751480102553,21.58554498354593,21.479685624440517,177.84125550587964,204.47826385498058,229.30252075195324,3
5313,Granada,10544,10159,10117,6,0,0,8.0,17.62,23.36,51.02,1.78,1.27,16.22,8.81,36.43,36.31,3.46,22.66,1.1,49.6,50.4,5.76,43.08,17.9675,13.2844,16.5002,0.0312,0.0,0.0156,0.010929,17.606557000000002,5313,-75.1237820524,6.118218108010001,0.11538461538461539,0.0,0.0,20.185702919960022,19.55618906021119,19.4818977912267,190.0041936238606,212.69458961486805,239.3510138193767,3
5315,Guadalupe,6424,6435,6560,3,1,0,5.94,16.12,25.57,52.37,0.53,0.09,9.57,10.84,39.82,33.73,4.37,26.06,0.4,51.01,48.99,31.73,69.25,37.6575,39.2441,2.2865,0.14,0.0,0.0,0.0114939999999999,20.045977,5315,-75.21468530071999,6.826078907714001,0.057692307692307696,0.018867924528301886,0.0,21.651628414789837,21.046210447947207,20.938462773958857,181.14596017201737,211.49667485555005,236.55834770202645,3
5318,Guarne,48944,51574,55121,10,1,0,5.27,11.83,25.53,57.37,0.45,0.09,5.2,4.22,60.41,41.98,3.27,18.81,3.86,49.56,50.44,6.46,34.15,6.5078,28.8167,23.8176,1.5702,0.3074,0.0378,0.033113,86.695364,5318,-75.44058699216667,6.239325403066666,0.19230769230769232,0.018867924528301886,0.0,17.877302090326932,17.25978891054789,17.17135588328044,164.22934150695798,184.41684532165516,206.49632326761875,3
5321,Guatapé,7864,8124,8363,23,2,0,5.87,13.21,24.3,56.62,0.41,0.06,4.82,2.74,59.48,42.58,2.3,20.08,4.28,48.62,51.38,1.74,32.98,2.0103,51.5349,11.1926,0.5433,0.1902,0.1087,0.014493,35.362319,5321,-75.1565250975,6.235554132855,0.4423076923076923,0.03773584905660377,0.0,19.26231559117635,18.62550993760427,18.541236201922107,173.0336796442668,191.028470993042,218.9895896911619,3
5347,Heliconia,5777,5508,5451,41,0,2,4.93,13.25,20.98,60.84,0.45,0.13,19.56,9.37,37.01,36.38,3.78,25.8,2.04,52.33,47.67,4.17,56.56,24.9904,35.2086,1.9135,0.0383,0.0,0.0383,0.0085469999999999,14.196581,5347,-75.74377519876,6.198064193438,0.7884615384615384,0.0,0.0392156862745098,19.833040038744603,19.257468422253933,19.16455749670665,170.79493713378915,197.97602526346827,215.3197491963705,3
5353,Hispania,5366,5380,5469,60,4,2,5.84,14.89,23.47,55.8,0.79,0.22,15.56,9.56,42.53,36.46,6.08,17.68,2.42,49.78,50.22,17.55,59.73,10.7222,50.5095,13.0261,0.0,0.0,0.0443,0.017241,29.137931,5353,-75.906590966,5.79946280832,1.1538461538461537,0.07547169811320754,0.0392156862745098,23.981862386067707,23.381254434585568,23.340564330418903,152.17332140604663,172.24005889892592,191.94344997406017,2
