Column,2016_dengue_mean,2016_dengue_median,2016_dengue_mode,2016_dengue_variance,2016_dengue_std_dev,2016_dengue_skewness,2016_dengue_kurtosis,2016_dengue_correlation_coefficient,2016_dengue_q_statistic,2016_dengue_ssh,2017_dengue_mean,2017_dengue_median,2017_dengue_mode,2017_dengue_variance,2017_dengue_std_dev,2017_dengue_skewness,2017_dengue_kurtosis,2017_dengue_correlation_coefficient,2017_dengue_q_statistic,2017_dengue_ssh,2018_dengue_mean,2018_dengue_median,2018_dengue_mode,2018_dengue_variance,2018_dengue_std_dev,2018_dengue_skewness,2018_dengue_kurtosis,2018_dengue_correlation_coefficient,2018_dengue_q_statistic,2018_dengue_ssh
Secondary/HigherEducation(%),44.021314847942755,42.555,47.28,86.47628895897361,9.29926281803959,0.5333475070475224,0.4001812422514912,0.188241366682057,1.2411507036992333,0.0,44.021314847942755,42.555,47.28,86.47628895897361,9.29926281803959,0.5333475070475224,0.4001812422514912,0.22205180317031,2.766533035486122,0.0,44.021314847942755,42.555,47.28,86.47628895897361,9.29926281803959,0.5333475070475224,0.4001812422514912,0.27562145068509103,2.1840203916181484,0.0
Employedpopulation(%),33.33696779964222,34.26,33.29,58.307968684727655,7.63596547168252,-0.8937900418090068,1.851001874955771,0.09960505719535336,1.2645540567585254,0.0,33.33696779964222,34.26,33.29,58.307968684727655,7.63596547168252,-0.8937900418090068,1.851001874955771,0.10320091546762832,2.820520793248866,0.0,33.33696779964222,34.26,33.29,58.307968684727655,7.63596547168252,-0.8937900418090068,1.851001874955771,0.08437824524395957,2.2603301907386215,0.0
Unemployedpopulation(%),4.4647227191413235,3.93,3.67,8.323145625821786,2.8849862436104936,2.8503078693291903,19.386947805638417,0.0210347462637753,1.2737559282353317,0.0,4.4647227191413235,3.93,3.67,8.323145625821786,2.8849862436104936,2.8503078693291903,19.386947805638417,0.03436968734601586,2.855682613601236,0.0,4.4647227191413235,3.93,3.67,8.323145625821786,2.8849862436104936,2.8503078693291903,19.386947805638417,0.07696551009051447,2.2886971042270905,0.0
Peopledoinghousework(%),22.106162790697677,21.785,20.17,31.6887660146572,5.629277574845391,0.9338634120597815,2.650623697398067,-0.11922840090679887,1.2606127222055128,0.0,22.106162790697677,21.785,20.17,31.6887660146572,5.629277574845391,0.9338634120597815,2.650623697398067,-0.15152801083093592,2.8291147324827097,0.0,22.106162790697677,21.785,20.17,31.6887660146572,5.629277574845391,0.9338634120597815,2.650623697398067,-0.2011908555672286,2.2187562916992496,0.0
Retiredpeople(%),1.1998837209302324,0.645,0.11,2.006075456476026,1.4163599318238376,2.0480429757291994,4.870362677777158,0.2143125696744233,1.2169433019001556,0.0,1.1998837209302324,0.645,0.11,2.006075456476026,1.4163599318238376,2.0480429757291994,4.870362677777158,0.2088002742230418,2.7002385144109664,0.0,1.1998837209302324,0.645,0.11,2.006075456476026,1.4163599318238376,2.0480429757291994,4.870362677777158,0.13483597327742963,2.2079685483020675,0.0
Men(%),50.80980322003578,50.735,51.13,3.514186174313705,1.874616273884793,1.2475829580321482,8.186162158388615,-0.1419217657268412,1.2481708851829219,0.0,50.80980322003578,50.735,51.13,3.514186174313705,1.874616273884793,1.2475829580321482,8.186162158388615,-0.14937144366874291,2.7660372911938618,0.0,50.80980322003578,50.735,51.13,3.514186174313705,1.874616273884793,1.2475829580321482,8.186162158388615,-0.17273124857259767,2.235070461357185,0.0
Women(%),49.19019677996422,49.265,48.87,3.5141861743137044,1.8746162738847927,-1.2475829580321478,8.186162158388605,0.1419217657268412,1.2481708851829223,0.0,49.19019677996422,49.265,48.87,3.5141861743137044,1.8746162738847927,-1.2475829580321478,8.186162158388605,0.14937144366874291,2.766037291193861,0.0,49.19019677996422,49.265,48.87,3.5141861743137044,1.8746162738847927,-1.2475829580321478,8.186162158388605,0.17273124857259767,2.235070461357186,0.0
Householdswithoutwateraccess(%),24.301440071556353,18.895,0.93,390.9566255877214,19.77262313370994,1.257881120905388,1.2468043382160063,-0.08865687551419837,1.2671747321991573,0.0,24.301440071556353,18.895,0.93,390.9566255877214,19.77262313370994,1.257881120905388,1.2468043382160063,-0.10379891328162445,2.8333695211932324,0.0,24.301440071556353,18.895,0.93,390.9566255877214,19.77262313370994,1.257881120905388,1.2468043382160063,-0.10921135657693197,2.269515352886119,0.0
Householdswithoutinternetaccess(%),67.00196779964223,68.34,56.79,186.71925789690312,13.664525527690419,-0.776815312072882,0.8326777883437648,-0.20304620155591377,1.203867873465505,0.0,67.00196779964223,68.34,56.79,186.71925789690312,13.664525527690419,-0.776815312072882,0.8326777883437648,-0.21883121456840504,2.6604255213411956,0.0,67.00196779964223,68.34,56.79,186.71925789690312,13.664525527690419,-0.776815312072882,0.8326777883437648,-0.20018783468855103,2.07725647797293,0.0
Buildingstratification1(%),40.42809078711986,38.279650000000004,22.8571,509.78270720377355,22.578368125348952,0.21436290198565325,-0.9546695225231394,-0.08219875378005391,1.262032638844279,0.0,40.42809078711986,38.279650000000004,22.8571,509.78270720377355,22.578368125348952,0.21436290198565325,-0.9546695225231394,-0.07225081805197724,2.8098515934313517,0.0,40.42809078711986,38.279650000000004,22.8571,509.78270720377355,22.578368125348952,0.21436290198565325,-0.9546695225231394,-0.019987652131127156,2.279544913544032,0.0
Buildingstratification2(%),23.33295438282648,21.6466,0.0,316.2876385090184,17.784477459543712,0.4473989324524141,-0.6904970091717222,0.02989371249295294,1.270234529994817,0.0,23.33295438282648,21.6466,0.0,316.2876385090184,17.784477459543712,0.4473989324524141,-0.6904970091717222,0.03071603809491778,2.839500416273341,0.0,23.33295438282648,21.6466,0.0,316.2876385090184,17.784477459543712,0.4473989324524141,-0.6904970091717222,-0.006369500348656381,2.3022840250637167,0.0
Buildingstratification3(%),4.202327280858676,0.8284,0.0,53.59706348006978,7.321001535313989,2.766259547425618,8.859713396928658,0.21893156045693868,1.2000727612644106,0.0,4.202327280858676,0.8284,0.0,53.59706348006978,7.321001535313989,2.766259547425618,8.859713396928658,0.22130815442859772,2.620297484369478,0.0,4.202327280858676,0.8284,0.0,53.59706348006978,7.321001535313989,2.766259547425618,8.859713396928658,0.20707060806793182,2.022251265265089,0.0
Buildingstratification4(%),0.5720873881932022,0.04925,0.0,4.015037794890039,2.0037559219850203,6.439729274938442,55.08382351512857,0.28964817450861396,1.1138784366283023,0.0,0.5720873881932022,0.04925,0.0,4.015037794890039,2.0037559219850203,6.439729274938442,55.08382351512857,0.3005978081840546,2.4963271814074757,0.0,0.5720873881932022,0.04925,0.0,4.015037794890039,2.0037559219850203,6.439729274938442,55.08382351512857,0.27716460541436533,1.9826744819269926,0.0
Buildingstratification5(%),0.16695885509839,0.0,0.0,0.8389384657182942,0.9159358414857965,13.175069328776578,243.42038538643197,0.356650624935597,0.9817796074958568,0.0,0.16695885509839,0.0,0.0,0.8389384657182942,0.9159358414857965,13.175069328776578,243.42038538643197,0.3521220740557231,2.251416467568558,0.0,0.16695885509839,0.0,0.0,0.8389384657182942,0.9159358414857965,13.175069328776578,243.42038538643197,0.22830558417672334,2.1026513857512605,0.0
Buildingstratification6(%),0.0737680679785331,0.0,0.0,0.15934571696510907,0.39918130838643867,8.657767191573317,83.52756704756189,0.35487136565263555,1.1297610299121152,0.0,0.0737680679785331,0.0,0.0,0.15934571696510907,0.39918130838643867,8.657767191573317,83.52756704756189,0.3371492250504138,2.694111354558156,0.0,0.0737680679785331,0.0,0.0,0.15934571696510907,0.39918130838643867,8.657767191573317,83.52756704756189,0.2635548647675475,2.223291719633564,0.0
NumberofhospitalsperKm2,0.030398257602862244,0.0044385,0.0,0.027243241366225433,0.16505526761126235,12.616289762272082,205.70840258207105,0.4067743103422283,1.1364006822904884,0.0,0.030398257602862244,0.0044385,0.0,0.027243241366225433,0.16505526761126235,12.616289762272082,205.70840258207105,0.4649972334968439,3.216923356628654,0.0,0.030398257602862244,0.0044385,0.0,0.027243241366225433,0.16505526761126235,12.616289762272082,205.70840258207105,0.4425832009470931,3.2346723412923275,0.0
NumberofhousesperKm2,44.86391825402504,11.735330000000001,0.010674,44638.86206846431,211.27910939907028,14.337253269609779,272.6486029155525,0.41748015307317937,0.9933140921928854,0.0,44.86391825402504,11.735330000000001,0.010674,44638.86206846431,211.27910939907028,14.337253269609779,272.6486029155525,0.36494725019112045,2.2773483330305506,0.0,44.86391825402504,11.735330000000001,0.010674,44638.86206846431,211.27910939907028,14.337253269609779,272.6486029155525,0.26645011309855116,2.23165965980953,0.0
Código Municipio,38597.349731663686,25820.0,5001.0,703162616.5767725,26517.213589982875,0.4553117958008544,-1.1237727942026488,0.02674411180870033,1.27905747519115,0.0,38597.349731663686,25820.0,5001.0,703162616.5767725,26517.213589982875,0.4553117958008544,-1.1237727942026488,0.05908792801839622,2.8682491966470955,0.0,38597.349731663686,25820.0,5001.0,703162616.5767725,26517.213589982875,0.4553117958008544,-1.1237727942026488,0.055268809729337676,2.2986618244282044,0.0
Longitud,-74.65227358466198,-74.75758750825,-81.717140850375,2.7986691461496136,1.6729223371542428,0.41256931803337793,1.6714465739356834,-0.04488868469367261,1.2741603532301335,-0.0,-74.65227358466198,-74.75758750825,-81.717140850375,2.7986691461496136,1.6729223371542428,0.41256931803337793,1.6714465739356834,-0.03518637535189407,2.8679956836347342,-0.0,-74.65227358466198,-74.75758750825,-81.717140850375,2.7986691461496136,1.6729223371542428,0.41256931803337793,1.6714465739356834,0.04067417340589219,2.298172778746227,-0.0
Latitud,5.608783156853259,5.543909936874,-4.041859210734,6.967588510951406,2.639619008673677,-0.02527521366274901,0.031300906389555294,-0.01809076761907617,1.272442611975058,0.0,5.608783156853259,5.543909936874,-4.041859210734,6.967588510951406,2.639619008673677,-0.02527521366274901,0.031300906389555294,-0.0006065671641489892,2.8719286683558134,0.0,5.608783156853259,5.543909936874,-4.041859210734,6.967588510951406,2.639619008673677,-0.02527521366274901,0.031300906389555294,0.11438192649972352,2.4119345181689806,0.0
2016_temp,22.06287767180088,22.530645330746978,22.225654760996505,32.48688249227381,5.699726527849719,-0.4379137872400986,-0.9028105548025338,0.020927469083075096,1.2734559302424269,0.0,22.06287767180088,22.530645330746978,22.225654760996505,32.48688249227381,5.699726527849719,-0.4379137872400986,-0.9028105548025338,0.07565696789542728,2.8768017880503907,0.0,22.06287767180088,22.530645330746978,22.225654760996505,32.48688249227381,5.699726527849719,-0.4379137872400986,-0.9028105548025338,0.1809332385111615,2.37088124353471,0.0
2017_temp,21.49092438989627,21.991206844647735,21.6350945631663,32.51286772123725,5.702005587618908,-0.43476091303678716,-0.9094921905818709,0.02064969991664395,1.2734730936282141,0.0,21.49092438989627,21.991206844647735,21.6350945631663,32.51286772123725,5.702005587618908,-0.43476091303678716,-0.9094921905818709,0.07526275342962122,2.876984290630417,0.0,21.49092438989627,21.991206844647735,21.6350945631663,32.51286772123725,5.702005587618908,-0.43476091303678716,-0.9094921905818709,0.1803650877912478,2.371992754764744,0.0
2018_temp,21.41397773443133,21.93485256036123,21.512438456217456,32.353697152086006,5.688031043523409,-0.4459135170950435,-0.9008174565265064,0.021263132808690997,1.273419585175941,0.0,21.41397773443133,21.93485256036123,21.512438456217456,32.353697152086006,5.688031043523409,-0.4459135170950435,-0.9008174565265064,0.07589958697211088,2.876531771420572,0.0,21.41397773443133,21.93485256036123,21.512438456217456,32.353697152086006,5.688031043523409,-0.4459135170950435,-0.9008174565265064,0.17960151023197177,2.37152124827595,0.0
2016_precip,140.33801101995536,125.76573868592581,133.18200174967447,4136.042645566756,64.31207231590936,2.217128232887906,7.142297153963738,-0.00018070397694247963,1.2750932080275812,0.0,140.33801101995536,125.76573868592581,133.18200174967447,4136.042645566756,64.31207231590936,2.217128232887906,7.142297153963738,-0.01121716050816603,2.854995528586984,0.0,140.33801101995536,125.76573868592581,133.18200174967447,4136.042645566756,64.31207231590936,2.217128232887906,7.142297153963738,-0.013815739269903806,2.297512951491555,0.0
2017_precip,153.73635871023978,138.41306145985925,149.16156641642246,5211.083094469061,72.18783203884891,2.5286896927604485,9.533064464081349,0.004050977311094299,1.2757823164504851,0.0,153.73635871023978,138.41306145985925,149.16156641642246,5211.083094469061,72.18783203884891,2.5286896927604485,9.533064464081349,-0.007910117454004358,2.8562046736008733,0.0,153.73635871023978,138.41306145985925,149.16156641642246,5211.083094469061,72.18783203884891,2.5286896927604485,9.533064464081349,-0.016544197763572552,2.2953282254326433,0.0
2018_precip,166.09758333837505,150.68524026870736,161.74645932515466,5841.745613918935,76.43131304589066,2.27236412117133,8.342581818486256,0.00555709938110985,1.2763266391722414,0.0,166.09758333837505,150.68524026870736,161.74645932515466,5841.745613918935,76.43131304589066,2.27236412117133,8.342581818486256,-0.007648522363041866,2.8556811388591807,0.0,166.09758333837505,150.68524026870736,161.74645932515466,5841.745613918935,76.43131304589066,2.27236412117133,8.342581818486256,-0.02147543897731744,2.3021211092391898,0.0
